Items & Equipment,multiple_choice,"Which arrow type produces the highest max hit when used with the Twisted bow?","Dragon arrows|Amethyst arrows|Rune arrows|Broad arrows","Dragon arrows","","Dragon arrows give the Twisted bow its highest possible max hit. The bow itself functions with any arrow type, but dragon arrows are the gold standard for maximising damage."
Items & Equipment,multiple_choice,"What is the cost to imbue a Black mask at the Nightmare Zone?","650,000 points|1,250,000 points|2,000,000 points|500,000 points","1,250,000 points","","The Black mask costs 1,250,000 NMZ points to imbue. Once imbued it works as a Slayer helmet (i) — providing the +15%/+15% bonus in all combat styles, not just melee."
Locations & NPCs,multiple_choice,"Where is the Grand Exchange located?","North-west of Varrock|North of Falador|East of Lumbridge|West of Ardougne","North-west of Varrock","","The Grand Exchange is north-west of Varrock. It allows players to buy and sell items with other players without meeting face-to-face, and has a spirit tree and fairy ring nearby."
Locations & NPCs,multiple_choice,"What fairy ring code brings you to Canifis?","BKR|AIQ|CKR|DKS","BKR","","Fairy ring BKR teleports to Canifis, the hub of Morytania. It is one of the most commonly used fairy rings for Barrows, Slayer tasks, and the Myreque quest series."
Locations & NPCs,multiple_choice,"What is the minimum Crafting level and item required to enter the Crafting Guild?","40 Crafting and a brown apron|50 Crafting and a crafting cape|40 Crafting only|45 Crafting and a leather top","40 Crafting and a brown apron","","The Crafting Guild near Rimmington requires 40 Crafting and wearing a brown apron (or Crafting cape). The Crafting cape removes the apron requirement."
Locations & NPCs,multiple_choice,"What NPC in Taverley sells the Herblore cape?","Kaqemeex|Sanfew|Brimstail|Master Farmer","Kaqemeex","","Kaqemeex is the druid in Taverley who sells the Herblore cape. He was also involved in the Druidic Ritual quest, the prerequisite for Herblore."
Locations & NPCs,multiple_choice,"What is the central landmark of Great Kourend that all five houses surround?","Shayzien Encampment|Hosidius|Kourend Castle|Lovakengj Mine","Kourend Castle","","Kourend Castle sits at the centre of Great Kourend and is surrounded by the five houses: Hosidius, Shayzien, Arceuus, Piscarilius, and Lovakengj. It serves as the administrative heart of the region."
Locations & NPCs,multiple_choice,"Where is the Nature Altar, used for crafting Nature runes?","Karamja jungle, south of Shilo Village|Edgeville dungeon|North of Ardougne|East of Canifis","Karamja jungle, south of Shilo Village","","The Nature Altar is in Karamja, south of Shilo Village. Players commonly use fairy ring code CKR and run south to reach it quickly."
Locations & NPCs,multiple_choice,"Who is the NPC that gives access to the Rune essence mine after completing Rune Mysteries?","Aubury in Varrock|Sedridor in Wizard's Tower|Both Aubury and Sedridor (and others)|Only the Wizard Traiborn","Both Aubury and Sedridor (and others)","","Multiple NPCs can teleport players to the Rune essence mine after Rune Mysteries: Aubury in Varrock, Sedridor in the Wizard's Tower, and others."
Locations & NPCs,multiple_choice,"What fairy ring code brings you to Mudskipper Point?","AIQ|BKR|CKR|DLR","AIQ","","Fairy ring AIQ brings you to Mudskipper Point, south of Port Sarim — near Thurgo the dwarf, who sells the Smithing cape."
Locations & NPCs,multiple_choice,"Where is the Blast Furnace located?","Keldagrim|Falador|East Ardougne|Dwarven Mine","Keldagrim","","The Blast Furnace is in Keldagrim, the dwarven city accessed via the Troll Stronghold or boat from the Grand Exchange area. It smelts bars at half the coal cost."
Locations & NPCs,multiple_choice,"What NPC in Draynor Village gives you access to the Wise Old Man's house and all his quests?","The Wise Old Man himself|Leela|Sir Amik Varze|Vannaka","The Wise Old Man himself","","The Wise Old Man lives in Draynor Village and is a major character in the Shield of Arrav and Dragon Slayer series lore. He sells the Quest Point cape for 99,000 coins."
Locations & NPCs,multiple_choice,"What is the currency used by TzHaar NPCs inside Mor Ul Rek?","Tokkul|Zeal tokens|Blood money|Slayer reward points","Tokkul","","Tokkul is the currency of Mor Ul Rek (the TzHaar city inside the Karamja Volcano). It is earned by killing TzHaar, completing the Fight Cave, or selling items to TzHaar shops."
Locations & NPCs,multiple_choice,"What dungeon is located beneath the city of Sophanem and features in the quest Beneath Cursed Sands?","The Tombs of Amascut|The Jaldraocht Pyramid|Pyramid Plunder|The Agility Pyramid","The Tombs of Amascut","","The Tombs of Amascut raid is located beneath Sophanem. It is the third raid in OSRS and requires 'Beneath Cursed Sands' to access. The final boss is Tumeken's Warden."
Locations & NPCs,multiple_choice,"Where is the entrance to the Corsair Cove dungeon?","West of Corsair Cove, in the Kebos region|North-east Karamja|South of Ardougne|West of the Myths' Guild","West of Corsair Cove, in the Kebos region","","The Corsair Cove dungeon is west of Corsair Cove on the south-west of the mainland. It was introduced alongside The Corsair Curse quest."
Locations & NPCs,true_false,"The Flash Powder Factory minigame inside the Rogues' Den requires both 50 Thieving and 50 Agility to enter.","","true","","True. The Flash Powder Factory requires both 50 Thieving and 50 Agility. The Rogues' Den itself (the safe cracking area) has no entry requirements."
Minigames & Activities,multiple_choice,"What can TzTok-Jad rarely drop on death besides the Fire cape?","Uncut onyx|Onyx bolts|Tokkul-Zo ring|Obsidian platebody","Uncut onyx","","TzTok-Jad has a rare chance to drop an uncut onyx on death. The guaranteed reward for defeating him and completing all 63 waves is the Fire cape."
Minigames & Activities,multiple_choice,"What is the point cost to purchase a Void knight top from the Pest Control store?","200 points|250 points|350 points|400 points","250 points","","The Void knight top costs 250 Pest Control points. A basic functional set (top + robe + gloves + one helmet) costs 850 points total. With all three helmets it is 1,250 points."
Minigames & Activities,multiple_choice,"Where is the Nightmare Zone minigame located?","Yanille|Falador|Varrock|Edgeville","Yanille","","The Nightmare Zone is located in Yanille, north of the bank. It is used for imbuing items, training combat, and obtaining herb boxes and rewards."
Minigames & Activities,multiple_choice,"What is the reward for fully completing the TzHaar Fight Cave (defeating TzTok-Jad)?","Fire cape|Infernal cape|Tokkul-Zo ring|Uncut onyx","Fire cape","","The Fire cape is the reward for completing all 63 waves of the Fight Cave. It provides +4 Strength bonus and was best-in-slot melee cape until the Infernal cape."
Minigames & Activities,multiple_choice,"What is the Barbarian Assault minigame's most notable unique reward used to upgrade Fighter torso?","Fighter torso itself is the reward|Granite body|Penance armour sets|Fighter hat","Fighter torso itself is the reward","","The Fighter torso (Penance torso) is obtained directly as a Barbarian Assault reward. It provides the same Strength bonus as a Bandos chestplate but no defensive stats."
Minigames & Activities,multiple_choice,"What does the Castle Wars game reward, used primarily for cosmetics?","Castle wars tickets and armour sets|Combat XP|Slayer points|Zeal tokens","Castle wars tickets and armour sets","","Castle Wars rewards tickets used to buy decorative armour sets (Saradomin/Zamorak) and other cosmetics. It has no combat benefit but is a popular social minigame."
Minigames & Activities,multiple_choice,"What resource does the Tempoross boss primarily reward?","Fish barrel, big harpoonfish, and spirit angler's outfit|Runes and gems|Herblore secondaries|Woodcutting supplies","Fish barrel, big harpoonfish, and spirit angler's outfit","","Tempoross rewards players with fish barrel (doubles fishing inventory), spirit angler's outfit (5% Fishing XP boost), big harpoonfish (high-healing food), and Tackle boxes."
Minigames & Activities,true_false,"The Hallowed Sepulchre has a minimum Agility level of 52 to enter the first floor.","","true","","True. The Hallowed Sepulchre has five floors with increasing Agility requirements: floor 1 requires 52, floor 2 requires 62, floor 3 requires 72, floor 4 requires 82, and floor 5 requires 92."
Minigames & Activities,multiple_choice,"What outfit from the Hallowed Sepulchre provides a Thieving XP boost?","Hallowed outfit|Dark graceful recolour|Sepulchre armour|Shadow graceful","Hallowed outfit","","The Hallowed outfit gives a Thieving XP boost (2% per piece, 12% full set). The dark graceful recolour provides Agility benefits. Both are obtained from the Hallowed Sepulchre as separate reward items."
Minigames & Activities,multiple_choice,"What is the Wintertodt minigame primarily used to train?","Firemaking|Woodcutting|Herblore|Farming","Firemaking","","Wintertodt is the main training method for Firemaking at higher levels. It gives supply crates as loot which scale with Woodcutting, Herblore, Mining, Farming, and Fishing levels."
Minigames & Activities,multiple_choice,"What outfit obtained from Wintertodt supply crates gives a total 2.5% Firemaking XP boost when fully worn?","Pyromancer outfit|Lumberjack outfit|Prospector kit|Farmer's outfit","Pyromancer outfit","","The Pyromancer outfit gives 0.5% Firemaking XP per piece (4 pieces = 2%) plus a 0.5% set bonus, for 2.5% total. It is the Firemaking equivalent of the Lumberjack, Prospector, and Farmer's outfits."
Minigames & Activities,multiple_choice,"What do chompy birds require in order to be killed, and what is the primary reward for hunting them?","Ogre bow and arrows — reward: Chompy bird hat|Any ranged weapon — reward: Chompy pet|Any weapon — reward: Chompy plumes|Magic spells only — reward: Bird nests","Ogre bow and arrows — reward: Chompy bird hat","","Chompy bird hunting uses ogre composite bows with ogre or brutal arrows. Killing 1000 chompies unlocks the full Chompy bird hat set. Required for the Western Provinces Elite Diary."
Quests,multiple_choice,"What quest must be completed to wield the Dragon Scimitar?","Monkey Madness I|Lost City|Waterfall Quest|Heroes' Quest","Monkey Madness I","","Monkey Madness I is required to equip the dragon scimitar — the best-in-slot melee weapon for training until the abyssal whip. Attack level 60 is also required."
Quests,multiple_choice,"What quest rewards the ability to use Ancient Magicks?","Desert Treasure I|Lunar Diplomacy|Dream Mentor|The Dig Site","Desert Treasure I","","Desert Treasure I unlocks the Ancient spellbook (Ancient Magicks) upon completion. It requires 53 Thieving, 50 Firemaking, 10 Slayer, and 53 Magic."
Quests,multiple_choice,"What quest unlocks the Lunar spellbook?","Lunar Diplomacy|Dream Mentor|Pirate's Treasure|Cabin Fever","Lunar Diplomacy","","Lunar Diplomacy unlocks the Lunar spellbook. It requires several skills including 65 Magic, 61 Crafting, 40 Defence, 49 Firemaking, 65 Herblore, and 55 Woodcutting."
Quests,multiple_choice,"How many Quest Points are required to wear the Quest Point cape?","All quests (varies)|200|290|300","All quests (varies)","","The Quest Point cape requires completion of ALL quests. As the quest list grows, the required points change. The cape is sold by the Wise Old Man in Draynor Village."
Quests,multiple_choice,"What quest must be completed before a player can reach the Barrows area?","Priest in Peril|Darkness of Hallowvale|In Aid of the Myreque|No quest required","Priest in Peril","","Priest in Peril is required to enter Morytania, the region where Barrows is located. Without it, the odd old man at the Silvarea border will not let you pass."
Quests,multiple_choice,"Which quest is required to access the Fairy Ring network?","Fairytale II — Cure a Queen (partially)|Lost City|A Fairy Tale Part I|Enlightened Journey","Fairytale II — Cure a Queen (partially)","","Fairytale II must be started (not completed) to use fairy rings without a Dramen or Lunar staff. Alternatively, complete Fairy Tale Part I and carry the staff."
Quests,multiple_choice,"What is the minimum Attack level requirement to equip a rune scimitar?","40|45|50|55","40","","A rune scimitar requires 40 Attack. It is the best scimitar available to free-to-play players and a common training weapon for mid-level mains."
Quests,multiple_choice,"What quest is required to access Ape Atoll, home of the Monkey Madness series?","Monkey Madness I begins the access|Legends' Quest|Jungle Potion|Druidic Ritual","Monkey Madness I begins the access","","Monkey Madness I is the quest that takes players to Ape Atoll. The sequel, Monkey Madness II, features the Demonic Gorillas boss."
Wilderness Bosses,multiple_choice,"Which Wilderness boss drops Odium shard 1 and Malediction shard 1?","Chaos Fanatic|Crazy Archaeologist|Scorpia|Chaos Elemental","Chaos Fanatic","","The Chaos Fanatic drops Odium shard 1 and Malediction shard 1. The Crazy Archaeologist drops shards 2, and Scorpia drops shards 3. The Chaos Elemental drops no ward shards."
Wilderness Bosses,multiple_choice,"What unique item does Scorpia drop that is used to make the Odium ward?","Nothing — she drops Malediction shards|Odium shards 1 and 2|Scorpia's offspring pet and Odium/Malediction shards|Malediction shard 3 or Odium shard 3","Malediction shard 3 or Odium shard 3","","Scorpia drops Malediction shard 3 and Odium shard 3. The Malediction ward and Odium ward are assembled from all three shards from different Wilderness bosses."
Wilderness Bosses,multiple_choice,"What Wilderness level is the Chaos Elemental located at?","Level 50|Level 55|Level 60|Level 66","Level 50","","The Chaos Elemental roams around level 50 Wilderness, south of the Rogues' Castle. It is one of the original Wilderness bosses from classic RuneScape."
Wilderness Bosses,multiple_choice,"What is the Callisto boss weak to, and what weapon type is most commonly used against it?","Melee — specifically a bludgeon or crush weapon|Ranged only|Magic with fire spells|All styles equally","Melee — specifically a bludgeon or crush weapon","","Callisto is weak to crush attacks. The Viggora's chainmace (with Revenant ether) or Osmumten's fang are common picks. It is the strongest bear-type boss in the game."
Wilderness Bosses,multiple_choice,"What pets can be obtained from the three Wilderness bosses (Callisto, Venenatis, Vet'ion)?","Callisto cub, Venenatis spiderling, Vet'ion jr.|Chaos pup, Scorpion jr., Web spider|Bear cub, Arachnid jr., Giant jr.|Grizzly cub, Tiny fang, Viggora jr.","Callisto cub, Venenatis spiderling, Vet'ion jr.","","Each Wilderness boss has a pet version: Callisto's cub is a bear, Venenatis's spiderling is a spider, and Vet'ion jr. is a skeletal hellhound."
Wilderness Bosses,true_false,"The Revenant Caves in the Wilderness are a multi-combat zone where players can be attacked by other players.","","true","","True. The Revenant Caves are a multi-combat Wilderness area around level 17–40 Wilderness. They are heavily contested by PKers due to the Revenant ether drops and ancient items."
Items & Equipment,multiple_choice,"What is the special attack of the Armadyl godsword?","Deals 25% extra damage with 62% accuracy|Freezes the target for 5 seconds|Reduces target's Magic defence by 30%|Hits twice in rapid succession","Deals 25% extra damage with 62% accuracy","","The Armadyl godsword special (Judgement, 50% spec) deals 25% extra damage with doubled accuracy. It's the highest-max-hit spec in the game and a PKing staple."
Items & Equipment,multiple_choice,"What is the special attack of the Bandos godsword?","Hits all nearby enemies|Reduces target's combined defensive stats by 1 per damage hit|Lowers target's Strength by 15%|Guaranteed hit ignoring all defence","Reduces target's combined defensive stats by 1 per damage hit","","The Bandos godsword special (Warstrike, 65% spec) reduces the target's defensive stats by 1 for each point of damage dealt. Best used with very high-hitting specs."
Items & Equipment,multiple_choice,"What level Ranged and Defence are required to wear Armadyl armour?","70 Ranged and 70 Defence|65 Ranged and 65 Defence|75 Ranged and 70 Defence|70 Ranged and 65 Defence","70 Ranged and 70 Defence","","Armadyl armour requires 70 Ranged and 70 Defence. It is the best-in-slot Ranged armour in the game and drops from Kree'arra and her bodyguards in the God Wars Dungeon."
Items & Equipment,multiple_choice,"What is the Toxic blowpipe made from, and what level Fletching does it require?","Tanzanite fang (from Zulrah) + 78 Fletching|Tanzanite fang + 53 Fletching|Serpentine fang + 65 Fletching|Venom gland (from Zulrah) + 65 Fletching","Tanzanite fang (from Zulrah) + 78 Fletching","","The Toxic blowpipe is made by using a chisel on a tanzanite fang (dropped by Zulrah), requiring 78 Fletching. It requires 75 Ranged to equip and is charged with darts and Zulrah's scales."
Items & Equipment,free_response,"What three pieces are combined to create the Abyssal bludgeon?","","Bludgeon spine, bludgeon axon, and bludgeon claw","bludgeon|spine|axon|claw","The Abyssal bludgeon is assembled from three pieces: the bludgeon spine, bludgeon axon, and bludgeon claw — all obtained by bringing Unsired drops to the Font of Consumption at the Abyssal Sire boss."
Items & Equipment,multiple_choice,"What Defence level is required to equip the Bandos chestplate?","65|70|75|80","65","","Bandos chestplate (and tassets and boots) require 65 Defence. Despite needing lower Defence than Armadyl, Bandos is pure melee armour and drops from General Graardor."
Skill Unlocks,multiple_choice,"What Runecraft level is required to craft blood runes at the Blood Altar in Arceuus?","60|70|77|85","77","","Blood runes require 77 Runecraft to craft at the Blood Altar in Kourend. Using the dark altar nearby gives 1.5× the runes, requiring 77 Runecraft and Arceuus favour."
Skill Unlocks,multiple_choice,"What Farming level is required to grow snapdragons?","62|67|71|75","62","","Snapdragons require 62 Farming to plant. They are a highly profitable herb used to make Super restore and Prayer potions."
Skill Unlocks,multiple_choice,"What level Magic is required to cast High Level Alchemy?","53|55|59|65","55","","High Level Alchemy (High Alch) requires 55 Magic and converts items to gold at 60% of general store price. It is one of the most commonly used spells in the game."
Skill Unlocks,multiple_choice,"At what Firemaking level does the tinderbox become unnecessary when using a knife on a log?","72|78|85|90","72","","At 72 Firemaking and 72 Woodcutting, the Barbarian firemaking technique (using a knife on a log) becomes available. Learned from Otto Godblessed during Barbarian Training."
Skill Unlocks,multiple_choice,"What Mining level is required to mine amethyst crystals?","82|85|92|97","92","","Amethyst requires 92 Mining and is found in the Mining Guild basement. It's used to make amethyst arrows, javelins, darts, and bolts."
Bosses,multiple_choice,"What prayer should players primarily use when fighting Vorkath?","Protect from Magic (most hits)|Protect from Ranged|Eagle Eye|Piety","Protect from Magic (most hits)","","Vorkath uses all three attack styles, but the majority of his attacks are Magic. Protect from Magic is best during his standard rotation. He also uses a prayer-disabling fireball special and an acid pool special."
Bosses,multiple_choice,"How many times does Vorkath use its dragonfire/prayer disable breath before switching to the acid special?","3|5|6|9","6","","Vorkath fires 6 standard attacks before launching a special: either the prayer-disabling breath attack followed by a fireball, or the acid pool special."
Bosses,multiple_choice,"What is the name of the Zalcano boss fight's primary mechanic?","Mining imbued tephra|Fishing in lava|Farming goldenleaf|Smithing ores","Mining imbued tephra","","Zalcano is unique in that it is primarily a Skilling boss fought using Mining (imbued tephra) and Runecraft/Smithing elements, not combat stats. Ranged is used briefly to stun her."
Bosses,multiple_choice,"Where is the Sarachnis boss located?","Forthos Dungeon in Hosidius|Slayer Tower, top floor|Catacombs of Kourend|Iorwerth Dungeon","Forthos Dungeon in Hosidius","","Sarachnis is in the Forthos Dungeon, located in Hosidius (not Shayzien). She drops the Sarachnis cudgel and Jar of eyes. Her cave is accessed through a webs room requiring a knife or slash weapon."
Bosses,multiple_choice,"What Slayer level is required to be assigned the Alchemical Hydra as a Slayer task?","92|95|97|99","95","","Alchemical Hydra requires 95 Slayer. It is assigned only by Konar quo Maten in the Karuulm Slayer Dungeon. Boots of stone, brimstone boots, or granite boots are required to walk the dungeon floors."
Minigames & Activities,multiple_choice,"What is the reward currency of the Tithe Farm minigame used for?","Farming equipment including magic secateurs and farmer's outfit|Prayer XP|Smithing supplies|Herblore secondaries","Farming equipment including magic secateurs and farmer's outfit","","Tithe Farm rewards points used to buy magic secateurs (+10% herb yield), the farmer's outfit (2.5% Farming XP bonus per piece), auto-weed, and other Farming tools."
Minigames & Activities,multiple_choice,"What item from the Hallowed Sepulchre lets players open coffins inside and speeds up Barrows door entry?","Strange old lockpick|Hallowed grapple|Dark graceful cape|Ring of the sepulchre","Strange old lockpick","","The strange old lockpick opens coffins within the Sepulchre and can open Barrows doors faster (consuming 50 charges for Barrows use). It does not bypass the per-floor Agility level requirements."
Minigames & Activities,multiple_choice,"What is the Soul Wars activity's primary mechanic?","Killing NPCs and players to gather soul fragments for the Soul Obelisk|Capturing flags like Castle Wars|Defending a central boss|Escorting an item across the map","Killing NPCs and players to gather soul fragments for the Soul Obelisk","","Soul Wars requires teams to kill NPCs and players to collect soul fragments (soul count), then use them to power the Soul Obelisk and weaken the opponent's Avatar, which must then be killed."
Locations & NPCs,multiple_choice,"Where is the Farming Guild located, and what Farming level is required for the basic section?","Hosidius, Great Kourend — 45 Farming|Draynor Village — 40 Farming|Catherby — 50 Farming|Ardougne — 55 Farming","Hosidius, Great Kourend — 45 Farming","","The Farming Guild is north of Hosidius in Great Kourend. Three tiers: basic section = 45 Farming, intermediate = 65 Farming, advanced (anima patch and spirit tree) = 85 Farming."
Locations & NPCs,multiple_choice,"Where is the Slayer master Turael located?","Burthorpe|Edgeville|Draynor Village|Canifis","Burthorpe","","Turael is located in Burthorpe, inside a small house. He is the lowest-level Slayer master and accepts players of any combat level. Spria in Draynor Village acts as a backup."
Locations & NPCs,multiple_choice,"What city serves as the hub for the Fremennik region quests?","Rellekka|Waterbirth Island|Keldagrim|Jatizso","Rellekka","","Rellekka is the main Fremennik city and the starting point for The Fremennik Trials quest. It provides access to Waterbirth Island, Miscellania, Etceteria, and the Lunar Isle."
Locations & NPCs,multiple_choice,"Where is the entrance to Mos Le'Harmless, home of the Cave Horrors?","Accessed by boat from Mos Le'Harmless ferry|Charter ship south of Port Phasmatys|Brimhaven dungon tunnel|Karamja boat from Port Sarim","Charter ship south of Port Phasmatys","","Mos Le'Harmless is accessed via a charter ship to the south of Port Phasmatys (or any charter ship port). Cabin Fever must be completed first."
Prayer,multiple_choice,"What level is the Chivalry prayer, and what stats does it boost?","Level 60 — boosts Attack 15%, Strength 18%, Defence 20%|Level 65 — boosts Attack 20%, Strength 18%, Defence 25%|Level 60 — boosts all melee stats by 15%|Level 70 — boosts Attack 15%, Strength 20%, Defence 25%","Level 60 — boosts Attack 15%, Strength 18%, Defence 20%","","Chivalry is level 60 (requires King's Ransom + Knight Waves) and boosts Attack by 15%, Strength by 18%, and Defence by 20%. It is strictly weaker than Piety in all respects."
Prayer,multiple_choice,"What is the prayer drain rate formula for a prayer that costs 1 point per 3 seconds?","Drain rate depends on prayer bonus — base 60, +2 per prayer bonus|All prayers drain at a fixed 1 point per 3 seconds regardless of bonus|Prayer bonus only applies to level 70+ prayers|Prayer bonus doubles the tick interval only","Drain rate depends on prayer bonus — base 60, +2 per prayer bonus","","The prayer drain formula: resistance = 60 + (2 × prayer bonus). A prayer with 1 drain/3s base will last 3 × (resistance/60) longer per point of prayer bonus. Gear like Proselyte helps significantly."
God Wars Dungeon,multiple_choice,"What is unique about the Nex boss fight compared to the other four GWD generals?","Nex requires a special key assembled from all four generals' drops to unlock permanently|Nex is fought in the main GWD chamber, not a separate room|Nex uses only one combat style|Nex has no bodyguards","Nex requires a special key assembled from all four generals' drops to unlock permanently","","Unlike the four main generals who only require kill count and a god item, Nex requires the Frozen Key assembled from drops of all four generals to permanently unlock the Ancient Prison."
God Wars Dungeon,multiple_choice,"What are the drops required from the four GWD generals to assemble the Frozen Key?","One Frozen key piece per general (zamorak/armadyl/bandos/saradomin)|Nex's key fragments|Godsword shards from each general|Ancient medallions","One Frozen key piece per general (zamorak/armadyl/bandos/saradomin)","","Each general drops a Frozen key piece named after their god: K'ril (zamorak piece), Kree'arra (armadyl piece), Graardor (bandos piece), Zilyana (saradomin piece). All four combine into the Frozen Key used to unlock the Ancient Prison."
Chambers of Xeric,multiple_choice,"What is the unique drop from the Great Olm (Challenge Mode) that changes the colour of skilling items to the olmlet's theme?","Metamorphic dust|Olmlet transformation scroll|Dark journal|Dexterous prayer scroll","Metamorphic dust","","Metamorphic dust is a rare drop from the Great Olm in Challenge Mode. It allows the Olmlet pet to metamorphose into multiple forms, including a Puppadile, Tektiny, Vanguard, Vasa Minirio, and Vespina."
Theatre of Blood,multiple_choice,"What is the drop from Theatre of Blood Hard Mode that is used as a cosmetic upgrade for the Scythe of Vitur?","Sanguine ornament kit|Holy ornament kit|Vial of blood (ornament)|Blood torva kit","Sanguine ornament kit","","The sanguine ornament kit from Hard Mode ToB cosmetically upgrades the Scythe of Vitur to red. The holy ornament kit turns it white/gold. Both are Hard Mode exclusive drops."
Attack,"multiple_choice","What Attack level is required to wield rune weapons?","30|40|50|60","40","","Rune weapons require level 40 Attack to wield, placing them in the mid-tier melee equipment category."
"Attack","multiple_choice","What Attack level is required to wield dragon weapons such as the dragon scimitar?","50|55|60|65","60","","Dragon weapons require 60 Attack to wield. The dragon scimitar also requires completion of Monkey Madness I."
"Attack","multiple_choice","What Attack level is required to wield the abyssal whip?","65|70|75|80","70","","The abyssal whip requires 70 Attack to wield and is one of the most iconic mid-to-late-game melee weapons."
"Attack","multiple_choice","What Attack level is required to wield the godswords?","70|75|80|85","75","","All godswords require 75 Attack to wield, making them high-tier melee weapons from God Wars Dungeon."
"Attack","multiple_choice","What Attack level is required to wield the Ghrazi rapier?","75|78|80|82","80","","The Ghrazi rapier, obtained from the Theatre of Blood, requires 80 Attack to wield."
"Attack","multiple_choice","What Attack level is required to wield the Osmumten's fang?","78|80|82|85","82","","Osmumten's fang, obtained from Tombs of Amascut, requires 82 Attack to wield."
"Attack","multiple_choice","What Attack level is required to wield mithril weapons?","10|15|20|25","20","","Mithril weapons require 20 Attack to wield, fitting between black (10) and adamant (30) in the weapon tier progression."
"Attack","multiple_choice","What Attack level is required to wield adamant weapons?","20|25|30|35","30","","Adamant weapons require 30 Attack to wield, sitting just below the rune tier at level 40."
"Attack","multiple_choice","What Attack level is required to wield black weapons?","5|10|15|20","10","","Black weapons require 10 Attack to wield. White equipment also requires level 10 Attack but additionally needs the Wanted! quest completed."
"Attack","multiple_choice","What Attack level is required to wield the ancient staff?","40|45|50|55","50","","The ancient staff requires 50 Attack and 50 Magic to wield, and also requires completion of Desert Treasure I."
"Attack","true_false","The abyssal dagger requires 70 Attack to wield.","","true","","The abyssal dagger requires 70 Attack to wield, the same level as the abyssal whip."
"Attack","true_false","Steel weapons require level 10 Attack to wield.","","false","","Steel weapons require only level 5 Attack to wield, not level 10. Level 10 unlocks black and white weapons."
"Attack","multiple_choice","What Attack level is required to wield the leaf-bladed battleaxe?","55|60|65|70","65","","The leaf-bladed battleaxe requires 65 Attack and 55 Slayer to wield."
"Attack","multiple_choice","What Attack level is required to wield the Saradomin sword?","65|70|75|80","70","","The Saradomin sword requires 70 Attack to wield and is obtained as a drop from Commander Zilyana in God Wars Dungeon."
"Attack","multiple_choice","What Attack level is required to wield the blade of Saeldor?","75|78|80|82","80","","The blade of Saeldor requires 80 Attack to wield and is crafted using crystal shards from Gauntlet."
"Attack","multiple_choice","What Attack level is required to wield the soulreaper axe?","75|78|80|82","80","","The soulreaper axe requires 80 Attack and 80 Strength to wield."
"Attack","multiple_choice","What Attack level is required to wield the scythe of vitur?","75|78|80|82","80","","The scythe of vitur requires 80 Attack and 90 Strength to wield, making it one of the most demanding weapons."
"Attack","true_false","The granite maul requires both Attack 50 and Strength 50 to wield.","","true","","The granite maul requires level 50 in both Attack and Strength to wield."
"Attack","free_response","What Attack level is required to wield the void knight mace?","","42","Attack 42|level 42","The void knight mace requires 42 in Attack, Strength, Defence, Hitpoints, Ranged, Magic, and 22 Prayer to wield."
"Attack","multiple_choice","What Attack level is required to wield Barrows weapons such as Dharok's greataxe?","60|65|70|75","70","","Most Barrows weapons require 70 Attack to wield. Dharok's greataxe and Torag's hammers additionally require 70 Strength."
"Strength","multiple_choice","What Strength level is required to wield the dragon warhammer?","50|55|60|65","60","","The dragon warhammer requires 60 Strength to wield with no Attack requirement, making it unique among dragon weapons."
"Strength","multiple_choice","What Strength level is required to wield the elder maul?","70|73|75|80","75","","The elder maul requires 75 Strength and 75 Attack to wield. It is obtained from the Chambers of Xeric."
"Strength","multiple_choice","What Strength level is required to wield the Tzhaar-ket-om?","50|55|60|65","60","","The Tzhaar-ket-om (obsidian maul) requires 60 Strength to wield with no Attack requirement."
"Strength","multiple_choice","What Strength level is required to wield the scythe of vitur?","80|85|90|95","90","","The scythe of vitur requires 90 Strength (and 80 Attack) to wield, making it the highest Strength-requirement weapon."
"Strength","multiple_choice","What Strength level is required to wield the soulreaper axe?","75|78|80|82","80","","The soulreaper axe requires 80 Strength and 80 Attack to wield."
"Strength","multiple_choice","What Strength level is required to wield the abyssal bludgeon?","65|68|70|75","70","","The abyssal bludgeon requires 70 Strength and 70 Attack to wield. It is crafted from abyssal orphan parts."
"Strength","true_false","The rune warhammer requires 40 Strength to wield.","","true","","The rune warhammer requires 40 Strength to wield with no Attack requirement."
"Strength","multiple_choice","What Strength level is required to wield a rune halberd?","15|20|25|30","20","","The rune halberd requires 20 Strength and 40 Attack to wield. Halberds require a Strength level equal to half the Attack requirement."
"Strength","multiple_choice","What Strength level is required to wield the granite maul?","40|45|50|55","50","","The granite maul requires 50 Strength and 50 Attack to wield."
"Strength","true_false","The mithril warhammer requires Strength level 20 to wield.","","true","","The mithril warhammer requires 20 Strength with no Attack requirement."
"Strength","multiple_choice","What Strength level is required to wield the dual macuahuitl?","70|73|75|80","75","","The dual macuahuitl requires 75 Strength and 70 Attack to wield. It is obtained from the Hueycoatl boss."
"Strength","multiple_choice","What Strength level is required to wield a crystal halberd?","30|33|35|40","35","","The crystal halberd requires 35 Strength, 70 Attack, and 50 Agility, plus completion of the Hard Western Provinces Diary."
"Strength","multiple_choice","What Strength level is required to wield granite armour?","40|45|50|55","50","","Granite armour requires 50 Strength and 50 Defence to wear."
"Strength","true_false","The adamant warhammer requires Strength level 30 to wield.","","true","","The adamant warhammer requires 30 Strength to wield. Warhammers in OSRS require Strength, not Attack, to equip."
